Date,COST,MU,MSFT,AMZN,IBM,AAPL,ORCL,KEY,AEE,MRO,AMGN,UNH,LUV,CSCO,MMM,MS,NKE
1998-03-02,30834400.0,67800600.0,679183200.0,952656000.0,44740977.0,3277355200.0,256407600.0,12905200.0,3502600.0,17561778.0,56470400.0,165826400.0,17786924.0,326181600.0,8739800.0,38556000.0,186706400.0
1998-03-03,29348400.0,58627600.0,729936800.0,792336000.0,53046635.0,3611428800.0,362129400.0,13436400.0,3918900.0,21995642.0,65352400.0,179072800.0,21420449.0,273607800.0,6082000.0,36190200.0,203132800.0
1998-03-04,34707200.0,42959400.0,658423200.0,938616000.0,46755991.0,4429252800.0,419662800.0,12487800.0,3772200.0,18603521.0,58719200.0,190231200.0,17927999.0,312784200.0,8211000.0,37965800.0,212280000.0
1998-03-05,37893400.0,56260600.0,566167600.0,1178640000.0,35538687.0,3754128000.0,369657000.0,11873400.0,3478600.0,15818609.0,52968000.0,182344000.0,15831449.0,210400200.0,6607000.0,35614400.0,226465600.0
1998-03-06,41653400.0,62570400.0,617572400.0,1296384000.0,24649618.0,4420595200.0,443244600.0,12708400.0,7023500.0,18042582.0,58880000.0,192282400.0,18949949.0,274738800.0,8297000.0,37923000.0,235120000.0
1998-03-09,46423800.0,54934600.0,565316400.0,1757496000.0,11126512.0,3845665600.0,364035600.0,12115500.0,6714500.0,14874099.0,75528400.0,201243200.0,21540262.0,213444000.0,10909400.0,39997600.0,226449600.0
1998-03-10,49776600.0,63307400.0,612722800.0,1262496000.0,19844085.0,4558568000.0,447111000.0,12625700.0,7004500.0,17796815.0,83444400.0,213669600.0,19162237.0,301981200.0,12513600.0,42599600.0,234653600.0
1998-03-11,46092800.0,69452600.0,572884000.0,1015512000.0,26963998.0,5772905600.0,558075600.0,13182500.0,7548300.0,21221794.0,98522800.0,204725600.0,15980624.0,377810400.0,13925000.0,39984400.0,225814400.0
1998-03-12,42297000.0,73993800.0,620846000.0,819528000.0,33138954.0,6517268800.0,463700400.0,12631800.0,7306600.0,22722548.0,167395600.0,212982400.0,17966812.0,425157000.0,12029200.0,41775800.0,215996000.0
1998-03-13,45616600.0,63572200.0,653388400.0,949992000.0,27019226.0,7083428800.0,728400000.0,14476300.0,7731600.0,20207879.0,187245600.0,207848800.0,20288475.0,466453200.0,9517800.0,44172200.0,206816000.0
1998-03-16,50866000.0,74942200.0,625408800.0,1016232000.0,34176376.0,6681068800.0,792766800.0,15832100.0,8127000.0,23399832.0,201736000.0,203866400.0,23374575.0,432928800.0,13407200.0,47457600.0,216975200.0
1998-03-17,54177600.0,59677600.0,571566400.0,1078248000.0,26676347.0,6270812800.0,735123600.0,17321100.0,8478500.0,20724895.0,228649200.0,198762400.0,27460350.0,486946800.0,15713400.0,51894000.0,207652000.0
1998-03-18,51911800.0,52897800.0,605454000.0,1351440000.0,34196459.0,6547811200.0,796707600.0,18050100.0,9147300.0,22503939.0,244322400.0,203292000.0,23552437.0,429457800.0,18232000.0,55436800.0,225104000.0
1998-03-19,55752600.0,56602000.0,635753200.0,1109136000.0,39604279.0,6387752000.0,757884000.0,19588800.0,9578800.0,24045599.0,232121200.0,197683200.0,21561187.0,474801600.0,19181800.0,53752600.0,201877600.0
1998-03-20,61097000.0,48654800.0,579443200.0,1237392000.0,31010761.0,6172275200.0,701730600.0,21036100.0,10100100.0,28029840.0,220797200.0,192672800.0,18566549.0,431803800.0,17080400.0,51170400.0,221856800.0
1998-03-23,56964400.0,41598800.0,634493200.0,1177296000.0,24532255.0,5757539200.0,785373000.0,20422600.0,9806700.0,33817602.0,231700800.0,198927200.0,5492136.0,502402200.0,18480800.0,48585200.0,210036800.0
1998-03-24,58467800.0,30020600.0,666774800.0,1290912000.0,29560795.0,6433470400.0,871646400.0,20830100.0,10098000.0,31831349.0,241825600.0,206434400.0,9914736.0,588243000.0,19794400.0,50232600.0,221661600.0
1998-03-25,55489400.0,47055800.0,791019600.0,1065120000.0,43671753.0,6046096000.0,954969000.0,20230400.0,10320000.0,29089689.0,253013600.0,212577600.0,15307311.0,656394600.0,21393800.0,47350800.0,205465600.0
1998-03-26,52737200.0,36746600.0,745578400.0,1222680000.0,37695537.0,5843129600.0,1020562800.0,20798000.0,9868000.0,31068901.0,245167200.0,218204000.0,12313686.0,615275400.0,22623400.0,44554800.0,196623200.0
1998-03-27,50128800.0,31990600.0,706654400.0,1375608000.0,31773713.0,6098724800.0,974826600.0,21557100.0,9455200.0,27448784.0,237690400.0,212338400.0,16136549.0,665330400.0,20915400.0,47210000.0,204421600.0
1998-03-30,46784200.0,26885800.0,734117600.0,1485624000.0,27770253.0,6349425600.0,1017354600.0,20720000.0,9821200.0,25534618.0,231261600.0,207334400.0,19663762.0,627027600.0,19067000.0,44814000.0,197913600.0
1998-03-31,50101000.0,38444600.0,772294800.0,1354320000.0,33080795.0,6616321600.0,1059963000.0,21925200.0,10236100.0,27825984.0,239525600.0,199866400.0,23125500.0,663617400.0,15787400.0,42332000.0,210963200.0
1998-04-01,52557600.0,55252800.0,809130400.0,1643352000.0,38603257.0,6803204800.0,1008724200.0,20876700.0,10036000.0,29574517.0,230536000.0,193232800.0,25653038.0,707805000.0,18566600.0,44892400.0,200988000.0
1998-04-02,49382600.0,37287200.0,850545200.0,1976208000.0,46137177.0,6608896000.0,966189600.0,21784000.0,10422000.0,31601675.0,222677600.0,207374400.0,28020938.0,759652800.0,20861000.0,47707200.0,215119200.0
1998-04-03,47154200.0,45735000.0,891532800.0,1742328000.0,39639007.0,6405828800.0,830979000.0,22519100.0,10676700.0,29906118.0,213353600.0,219876800.0,24435000.0,813954600.0,19454200.0,51782400.0,225879200.0
1998-04-06,43929000.0,42117000.0,817300800.0,1521840000.0,47336103.0,6058236800.0,755928000.0,23217600.0,10496900.0,31950711.0,197089600.0,213460000.0,22305375.0,770161200.0,17902800.0,60421000.0,217964800.0
1998-04-07,49247600.0,34735600.0,754670000.0,1289160000.0,41639169.0,5765536000.0,816245400.0,22400100.0,10261600.0,34653142.0,212628000.0,209018400.0,20636775.0,822943800.0,20004400.0,67592800.0,211190400.0
1998-04-08,55777800.0,27248200.0,791463200.0,1515456000.0,36004158.0,5540337600.0,780533400.0,21701300.0,10714800.0,32394299.0,206887200.0,215141600.0,21648938.0,772443600.0,21597400.0,71687800.0,204559200.0
1998-04-09,59906000.0,22625400.0,825082400.0,1836144000.0,42342918.0,5710644800.0,753066000.0,22351200.0,11446500.0,31109806.0,202722000.0,220128000.0,23271301.0,706007400.0,23632000.0,73742000.0,208304800.0
1998-04-13,55003200.0,26018200.0,791926000.0,1616544000.0,33797098.0,5998944000.0,802850400.0,24031100.0,10649900.0,27958758.0,196993200.0,214460000.0,25996614.0,663835800.0,25571000.0,78358600.0,200917600.0
