Date,COST,MU,MSFT,AMZN,IBM,AAPL,ORCL,KEY,AEE,MRO,AMGN,UNH,LUV,CSCO,MMM,MS,NKE
1998-03-26,2752200,10309200,45441200,157560000,5976216,202966400,65593800,567600,452000,1979212,7846400,5626400,2993625,41119200,1229600,2796000,8842400
1998-03-27,2608400,4756000,38924000,152928000,5921824,255595200,45736200,759100,412800,3620117,7476800,5865600,3822863,50055000,1708000,2655200,7798400
1998-03-30,3344600,5104800,27463200,110016000,4003460,250700800,42528000,837100,366000,1914166,6428800,5004000,3527213,38302800,1848400,2396000,6508000
1998-03-31,3316800,11558800,38177200,131304000,5310542,266896000,42608400,1205200,414900,2291366,8264000,7468000,3461738,36589800,3279600,2482000,13049600
1998-04-01,2456600,16808200,36835600,289032000,5522462,186883200,51238800,1048500,200100,1748533,8989600,6633600,2527538,44187600,2779200,2560400,9975200
1998-04-02,3175000,17965600,41414800,332856000,7533920,194308800,42534600,907300,386000,2027158,7858400,14141600,2367900,51847800,2294400,2814800,14131200
1998-04-03,2228400,8447800,40987600,233880000,6498170,203067200,135210600,735100,254700,1695557,9324000,12502400,3585938,54301800,1406800,4075200,10760000
1998-04-06,3225200,3618000,74232000,220488000,7697096,347592000,75051000,698500,179800,2044593,16264000,6416800,2129625,43793400,1551400,8638600,7914400
1998-04-07,5318600,7381400,62630800,232680000,5696934,292700800,60317400,817500,235300,2702431,15538400,4441600,1668600,52782600,2101600,7171800,6774400
1998-04-08,6530200,7487400,36793200,226296000,5635011,225198400,35712000,698800,453200,2258843,5740800,6123200,1012163,50500200,1593000,4095000,6631200
1998-04-09,4128200,4622800,33619200,320688000,6338760,170307200,27467400,649900,731700,1284493,4165200,4986400,1622363,66436200,2034600,2054200,3745600
1998-04-13,4902800,3392800,33156400,219600000,8545820,288299200,49784400,1679900,796600,3151048,5728800,5668000,2725313,42171600,1939000,4616600,7387200
1998-04-14,1939000,7876600,28476800,326472000,4990466,327846400,32473800,3679300,526400,1304275,9479600,10496000,1979438,57588000,1768400,2790000,5251200
1998-04-15,2070200,7750200,40498400,223848000,9522993,557513600,26488200,1568100,357100,2144845,11195200,7983200,5986913,66373200,2246600,4217400,6472000
